,Number,Line,Sample,CODE,No leaves,Diameter,Perpendicular,Height,Max. Temp.,Min. Temp.,Mean. Temp.,Max. Hum.,Min. Hum.,Mean. Hum.,Combined Temperature Average,Combined Temperature Std Dev,Combined Humidity Average,Combined Humidity Std Dev,BBCH,Average Leaf Thickness
2024-09-11,22,3,N,RNGRA2,13,17.3,13.8,10.3,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,37,0.0
2024-09-11,23,4,N,RNROB2,6,14.1,7.9,11.5,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,37,0.0
2024-09-11,24,4,N,RNROC3,9,14.2,14.8,12.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,37,0.0
2024-09-11,25,4,N,RNROA5,6,12.4,8.3,7.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,37,0.0
2024-09-11,26,4,N,RNROC5,9,14.3,12.5,10.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,39,0.0
2024-09-11,27,4,N,RNROB3,8,14.4,13.2,11.1,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,44,0.0
2024-09-11,28,4,N,RNROA1,3,8.6,7.2,5.5,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,29,4,N,RNROC1,8,14.3,12.1,9.6,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,30,5,N,RNGRC1,15,18.9,12.6,12.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,31,5,N,RNGRB3,12,17.2,11.3,12.8,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,32,5,N,RNGRA5,10,15.5,10.2,11.9,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,33,5,N,RNGRB1,11,15.4,13.8,11.6,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,34,5,N,RNGRC3,13,17.8,15.5,13.2,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
2024-09-11,35,5,N,RNGRB4,12,16.1,13.2,11.3,32.9,16.4,21.795833333333334,60.1,34.1,50.67083333333333,20.49285714285714,1.8474953551502025,58.48869047619048,5.950718091143668,19,0.0
