Number;Line;Sample;Date;CODE;No leaves;Diameter;Perpendicular;Height;Thickness 1;Thickness 2;Thickness 3;Thickness 4;Thickness 5
4;1;W;20/09/2024;RWGRA2;13;18,7;18,1;8,15;0,38;0,44;0,35;;
5;1;W;20/09/2024;RWGRB3;11;22,9;21,8;7,45;0,36;0,33;0,34;;
6;1;W;20/09/2024;RWGRA4;11;23,1;19,6;9,55;0,33;0,47;0,4;;
7;1;W;20/09/2024;RWGRC3;13;22,1;21,8;7,05;0,29;0,32;0,34;;
8;1;W;20/09/2024;RWGRA5;13;19,6;18,8;9,35;0,4;0,36;0,39;;
9;2;W;20/09/2024;RWGRC2;16;23,2;21,6;9,55;0,36;0,37;0,36;;
10;2;W;20/09/2024;RWGRB4;15;27,2;24,6;9,45;0,25;0,31;0,4;;
11;2;W;20/09/2024;RWGRC5;15;24,6;22,2;9,45;0,36;0,35;0,31;;
12;2;W;20/09/2024;RWGRB1;15;27,5;25,1;10,55;0,26;0,36;0,41;;
13;2;W;20/09/2024;RWGRC4;16;22,4;21,6;9,55;0,42;0,38;0,34;;
14;2;W;20/09/2024;RWGRB2;7;16,4;7,5;5,95;0,24;0,25;0,29;;
15;2;W;20/09/2024;RWGRA1;12;22,4;20,3;9,95;0,33;0,3;0,35;;
16;3;N;20/09/2024;RNGRA3;14;21,5;20,4;11,9;0,42;0,37;0,46;;
17;3;N;20/09/2024;RNGRB5;16;26,8;23,4;8,95;0,4;0,48;0,31;;
18;3;N;20/09/2024;RNGRC4;15;26,4;23,4;10,15;0,48;0,35;0,35;;
19;3;N;20/09/2024;RNGRA1;11;23,1;22,8;9,35;0,38;0,34;0,35;;
20;3;N;20/09/2024;RNGRC5;17;23,6;20,8;9,45;0,32;0,33;0,36;;
21;3;N;20/09/2024;RNGRB2;14;24,6;24,4;9,55;0,28;0,33;0,36;;
22;3;N;20/09/2024;RNGRA2;12;22,7;18,6;11,05;0,36;0,33;0,32;;
23;4;N;20/09/2024;RNROB2;10;21,6;18,5;8,45;0,2;0,24;0,28;;
24;4;N;20/09/2024;RNROC3;12;18,1;16,4;7,05;0,25;0,3;0,33;;
25;4;N;20/09/2024;RNROA5;8;19,7;13,5;7,55;0,28;0,33;0,31;;
26;4;N;20/09/2024;RNROC5;8;19,6;17,5;8,35;0,35;0,36;0,27;;
27;4;N;20/09/2024;RNROB3;11;19,7;18,3;8,05;0,22;0,3;0,35;;
28;4;N;20/09/2024;RNROA1;5;11,1;10,2;6,5;;;;;
29;4;N;20/09/2024;RNROC1;9;18,6;17,1;7,05;0,34;0,34;0,29;;
30;5;N;20/09/2024;RNGRC1;16;25,6;24,3;11,55;0,25;0,39;0,27;;
31;5;N;20/09/2024;RNGRB3;17;24,8;16,2;13,15;0,35;0,26;0,3;;
32;5;N;20/09/2024;RNGRA5;13;22,6;20,8;8,55;0,24;0,27;0,3;;
33;5;N;20/09/2024;RNGRB1;11;24,3;22,1;10,45;0,39;0,31;0,35;;
34;5;N;20/09/2024;RNGRC3;13;23,4;21,3;10,55;0,3;0,37;0,37;;
35;5;N;20/09/2024;RNGRB4;15;22,5;20,3;11,05;0,3;0,29;0,29;;
36;5;N;20/09/2024;RNGRA4;10;20,1;16,7;10,25;0,26;0,28;0,31;;
37;5;N;20/09/2024;RNGRC2;13;25,2;22,6;9,15;0,34;0,31;0,28;;
38;6;N;20/09/2024;RNROB1;6;17,3;14,2;10,4;0,3;0,32;0,27;;
39;6;N;20/09/2024;RNROA4;11;21,1;18,6;6,55;0,35;0,32;0,32;;
40;6;N;20/09/2024;RNROC2;10;22,7;17,3;7,55;0,34;0,32;0,35;;
41;6;N;20/09/2024;RNROA3;10;21,6;17,7;8,05;0,26;0,33;0,29;;
42;6;N;20/09/2024;RNROB5;12;19,3;14,5;6,85;0,22;0,23;0,24;;
43;6;N;20/09/2024;RNROA2;8;19,1;17,4;7,55;0,31;0,29;0,32;;
44;6;N;20/09/2024;RNROC4;12;21,2;18,3;8,45;0,26;0,3;0,34;;
45;6;N;20/09/2024;RNROB4;11;22,6;17,5;7,45;0,31;0,23;0,28;;
